category,full_name,age,face_symmetry,face_width,face_height,eye_color,hair_color,facial_id
Cluster5,Faye Gleichner-Batz DDS,9,1,209.3390125548467,121.07648723758757,#f3b3cf,#d56aff,Qjqee3EvH2
Cluster1,Gloria MacGyver,36,1,140.5680233379826,119.60972244851291,#4b3bf9,#cdb4a8,3MrIboZswh
Cluster2,Kristi Hills MD,15,1,241.90919913817197,190.94115644693375,#1ba11a,#38a9dc,9NuL4XVpiU
Cluster3,Johanna Smitham,93,1,124.12068081321195,181.70344410464168,#b89db5,#9fab63,FAxQ5mN4UT
Cluster4,Saul Moore,7,1,187.23745265742764,160.65502217970788,#38d6ca,#4d1bf1,wl5xpCxxgj
Cluster5,Freddie Medhurst,3,1,249.93842454859987,261.9273996911943,#8cc227,#a44eed,82Q4Y1gsrN
Cluster1,Alma Prosacco III,76,1,198.73417858034372,219.5159882772714,#d8fc19,#9f3b2c,nF0k3A2Ztl
Cluster2,Mathew Reichel,2,1,195.99123981315643,257.3368164245039,#ceec08,#01efdc,CtAhj3Tq71
Cluster3,Jim Fay,12,1,172.595452144742,284.603259107098,#8b32cd,#aba6bc,iYQJEyGnTp
Cluster4,Shelly Trantow,33,1,153.30671286210418,257.8940405510366,#b5233b,#bf2ce0,iU38AGP7gJ
Cluster5,Angela Johnston,88,1,242.72633125074208,178.38615369983017,#b2be9f,#0dba1b,kK8bvV7W7B
Cluster1,Ryan Ullrich I,27,1,156.05997984530404,142.1262042131275,#dae5c4,#3243ae,uxR0NsUsm6
Cluster2,Clark Runolfsson-Stoltenberg,46,1,192.55342775722966,172.82877988182008,#cef086,#fe15f4,bynGXSRJdU
Cluster3,Angie Harber,47,1,209.50375921092927,214.29599802941084,#1bbc28,#fdb653,CZhsRFdQwp
Cluster4,Bernice Zboncak,85,1,161.4625384681858,103.43547826632857,#4d5bd6,#9baf9a,oBOg5cgZ7A
Cluster5,Perry Trantow,50,1,167.40946911741048,157.80765740200877,#2efa53,#4caf0e,1JaLkmGm8P
Cluster1,Everett Welch I,10,1,203.8333797827363,182.95668070204556,#bb5ec5,#75d05f,AOmh4okc5I
Cluster2,Loretta Hahn,74,1,231.68954190332443,101.75139545463026,#d08a5c,#5a70c4,Kf4F4f9Au9
Cluster3,Christine Parisian,82,1,235.0756336003542,188.12131136655807,#068fb3,#eae9cc,w2yfGWY8U8
Cluster4,Penny Gerhold,4,1,129.3073555920273,134.09681003540754,#c63e3b,#d8aade,YklP7fG3Mb
Cluster5,Lowell Crona,89,1,115.3766626957804,151.76284755580127,#aa4db1,#d6472f,LnlYwTWsHP
Cluster1,Ms. Jacquelyn Johnston,7,1,167.11216360563412,145.89019380509853,#3fd82c,#9ec600,4GUXLjAoPe
Cluster2,Lance Weissnat,2,1,143.4362766216509,262.23613377660513,#fca85c,#2c733a,sL58TRBrmi
Cluster3,Jermaine Lang,56,1,130.26670527178794,298.8005207385868,#8ddffb,#d7d59d,cYpB8WZHEk
Cluster4,Donna Ullrich,37,1,245.6181953428313,275.5807740148157,#cd9499,#df02cf,rHCy4pz6AD
Cluster5,Sylvia Nienow,47,1,210.2622383274138,274.0578258410096,#a50c31,#57bc2a,3PVRusJl8Q
Cluster1,Nathaniel Hills,2,1,168.0691776331514,289.5740212406963,#c9dc0e,#24a4fd,d3aYLs71yU
Cluster2,Erik Parisian,9,1,167.7713171695359,274.0139381028712,#8f75dd,#044374,05e4cOQC2M
Cluster3,Lana Kuhic,68,1,200.77785518951714,235.6793171260506,#ecadbb,#ca57ba,5FWWdJUgQB
Cluster4,Russell Yost,35,1,168.86859064688906,269.3147546611726,#17ffdf,#cd3e57,0Iv74hDDKK
Cluster5,Candice Schamberger,67,1,197.89945913944393,182.8809070866555,#3d1a7c,#d72576,gpEcVctps6
Cluster1,Wilma Rippin PhD,36,1,137.61445579584688,252.0285894162953,#e17f8d,#ec6b4c,O1vDadkVek
Cluster2,Yolanda Kuhic-Douglas,44,1,228.44587676227093,226.85370608232915,#6fadb8,#1227c4,KGIwsMbDBi
Cluster3,Valerie Pagac,65,1,142.179990792647,153.85678154416382,#257b5c,#d787cb,pfTi35Oetb
Cluster4,Joanne Feil,54,1,179.33783130720258,210.71558948606253,#ff3b34,#611d4c,PFeq8Mo7NY
Cluster5,Olga Connelly,47,1,166.36212405283004,105.42527516372502,#53f09d,#f2f4fe,dFuCj1fTOG
Cluster1,Penny VonRueden,26,1,166.97611194103956,205.78830712474883,#79cd93,#a3a8aa,hAxBzNqbHP
Cluster2,Donnie Wehner,9,1,219.75152624072507,119.70929321832955,#71efc4,#7bb3b7,Xoz87EFDX1
Cluster3,Raul Kuhic,18,1,133.3037715870887,139.103269809857,#71965c,#149dc5,dPq9LTecYJ
Cluster4,Fannie Botsford,43,1,143.06107794400305,165.10727237910032,#98abc7,#0ed96f,LDIKr1hasj
Cluster5,Wade Shanahan,56,1,224.62522718124092,138.2976160850376,#dff1a1,#e0ddfa,x6iQsnv1dt
Cluster1,Traci Sauer,20,1,196.4354998548515,105.30053940601647,#3a2b0f,#08c5ed,XzUo46OpPh
Cluster2,Dianne Vandervort Sr.,29,1,207.71807447308674,233.90389643609524,#fabb3c,#c1b1cd,96gaPd7e1v
Cluster3,Earl Fisher,12,1,137.87253892514855,105.08001651614904,#9e9b86,#e4a911,X71i0B5BgB
Cluster4,Rafael Frami I,17,1,100.48970839707181,206.9559961091727,#5c5c35,#cee3e2,xgcw42IYLL
Cluster5,Jennie D'Amore,45,1,196.3153938180767,253.44532723538578,#cdc24f,#cdb1eb,Jwm83vsyQU
Cluster1,Marcos Kulas,84,1,195.7697196630761,236.5732611157,#d4e5e4,#929f74,cTw1D4AKKg
Cluster2,Penny Reichert,64,1,247.92515877634287,228.32212490029633,#38c1e4,#2e4cbe,cTwZwzCzjY
Cluster3,Dr. Ida Lubowitz,12,1,235.2191888145171,133.48666122183204,#3cbeab,#dcddcd,DUUsZqiF97
Cluster4,Anne Feil I,95,1,186.15390671184286,101.30446758121252,#659605,#d42c62,H3NieFWYsb
Cluster5,Marcia Baumbach,23,1,166.2028385559097,293.7043954152614,#7bface,#33f7ed,o6mWEoTw8N
Cluster1,Heather Schulist,70,1,169.69918713439256,284.076170809567,#ee5e2d,#d7fdec,j3WcuuGc3z
Cluster2,Amber Schamberger III,47,1,134.77604750078171,246.25718076713383,#d0eecd,#2ae1bc,xTf5L8g4WS
Cluster3,Dr. Ron Kautzer,45,1,163.38028896134347,105.99237834103405,#f12ffe,#4a8908,fHsqNjD3dU
Cluster4,Mitchell Hermiston,85,1,114.90189783507958,214.22903686761856,#bb8c73,#aedb45,1ceJgH6TXQ
Cluster5,Cheryl Stiedemann,29,1,102.56180175347254,106.34727510623634,#2f6d57,#fc1baf,gpKxadQbmu
Cluster1,Toni Padberg,18,1,211.11853739712387,207.6844545546919,#f7edec,#e53eb6,HQmX6h2qmi
Cluster2,Matt Carroll,30,1,146.97752667125314,234.46690933778882,#21a55f,#4d42ce,hS3lh6IAt9
Cluster3,Van Keeling,38,1,121.9592010951601,159.6531744580716,#eb1c1d,#925ce6,YRRA2X2YZO
Cluster4,Gregg Gutmann,21,1,202.5070123374462,234.93941645137966,#affc7d,#c68c30,ogKcPSbrmp
Cluster5,Wesley Jacobi DVM,25,1,166.6991111007519,296.67945355176926,#b29ad4,#faef7c,xtUSZeMgkW
Cluster1,Mrs. Jacquelyn Waters,65,1,138.49649300100282,226.20671009644866,#e5ae14,#5ab155,i3I4i47CTi
Cluster2,Paula Green,67,1,156.80466227931902,130.2267731167376,#d648bc,#961707,USz8ciDG77
Cluster3,Miss Rosemary Mosciski,11,1,203.58359592501074,185.73109228163958,#8b35ac,#ff7b92,7uFL6WAvSj
Cluster4,Vera Kohler DVM,63,1,115.24589795153588,189.76755165494978,#b30eda,#cced33,HxgdtZuggs
Cluster5,Kelly Miller,67,1,226.10587504459545,282.1609444450587,#b9d9be,#cddc0c,aZqNJpm3JI
Cluster1,Tammy McClure,42,1,164.73712102742866,149.83403482474387,#08d2fa,#ad9190,tIG1afLlrw
Cluster2,Marguerite Flatley,91,1,184.9686146248132,110.64366512000561,#da42d2,#f26c86,bvUlKAwsBt
Cluster3,Minnie Hane,89,1,247.01358926249668,275.6492319982499,#bd900f,#b5cffe,ZTItKEAbPu
Cluster4,Pat Brown,38,1,105.4358881432563,220.19021594896913,#0a90fa,#e330fa,HEV6Ueieje
Cluster5,Darlene Medhurst,53,1,109.26146170822904,237.02088263817132,#eaa1af,#28ea6b,lMFSHLgNlj
Cluster1,Ian Gislason,11,1,183.84736240841448,219.9203754775226,#0c6e9a,#4074be,4qnZpCWN96
Cluster2,Conrad Kirlin,92,1,131.71130927512422,239.44117189384997,#8179ec,#fb9d0a,ATTkZJy8vu
Cluster3,Geraldine Schmitt,71,1,164.36662162886932,237.87479302845895,#b5037f,#6d1da0,vpaT4zYbEU
Cluster4,Dr. Dwight O'Hara,2,1,149.89723628386855,240.70651102811098,#ddaafc,#70c8ef,TrTZRpRQSh
Cluster5,Angelo Schinner,60,1,235.0276372861117,135.73408629745245,#2bcce8,#e4aa38,Dv1tXg7bV9
Cluster1,Rochelle Watsica,42,1,227.3964291671291,111.67330164462328,#8fa940,#7efc8d,clbOjiAcQ6
Cluster2,Rolando Grimes,8,1,155.4708558600396,283.2311746198684,#7714ca,#dc526b,hNCg8tCYzY
Cluster3,Johanna Keebler,80,1,218.35607005050406,225.79189934767783,#9eddcb,#de2eda,K3EYypQQW1
Cluster4,Kari McCullough,8,1,178.57488041045144,279.15702760219574,#fe9cef,#d41a25,sylbPwVYlY
Cluster5,Miranda Goyette,34,1,106.39411590527743,230.9925553854555,#9ebef5,#b856ee,Kk0o3RJwEe
Cluster1,Greg Rodriguez MD,21,1,174.9339036294259,260.0771036464721,#cad8ae,#bc13bb,9RaAlCsM4o
Cluster2,Bernard Erdman,77,1,159.28580581676215,142.9331086575985,#2d3e7e,#43736f,gg2RTwY8Si
Cluster3,Dianne Moore-Hudson,72,1,219.40086509566754,179.80766887776554,#6bffcb,#c6e3cb,zWEWxXc435
Cluster4,Alicia Raynor,86,1,199.71491531468928,285.0143772084266,#bb42d3,#eca169,bZIJmrdDu6
Cluster5,Gordon West,31,1,241.16506847785786,296.64587806910276,#f63a08,#7ff16a,R5MbakWinh
Cluster1,Salvador Stark,78,1,121.64771347306669,174.70233258791268,#286b87,#2b2b2c,MixhE5UIA1
Cluster2,Mr. Jim Bernhard,11,1,109.14468216942623,283.26747454702854,#c1dd55,#b0098c,T6GgDoyzaP
Cluster3,Patsy Stokes,35,1,104.14336050162092,246.86408997513354,#a1ae5d,#5c2e45,NO826jXIib
Cluster4,Alexis Wilderman,35,1,225.3505246480927,163.38099790737033,#21b00e,#4bc6aa,PXgbLl6Hl0
Cluster5,Sergio VonRueden,57,1,206.2523014144972,204.4943805783987,#e506c1,#daacca,zJdirm9dBZ
Cluster1,Della Leuschke,45,1,196.91166152479127,233.48297509364784,#ab799e,#edc6b4,pVcOlMqFfZ
Cluster2,Annette Bode,64,1,205.07791072595865,106.28950735554099,#addbbd,#a89f6f,OfWcrfaNmO
Cluster3,Holly Legros-Stroman,77,1,229.4183049350977,246.6405692975968,#ab62da,#f500f9,TIF3JBkR8X
Cluster4,Dallas Langosh-Stehr,91,1,214.5634685875848,131.10091723501682,#6bc699,#bbafce,tINUQ31p3V
Cluster5,Lena Wyman,57,1,195.11284307809547,169.33255936019123,#bd42ed,#5ee0bf,Ty8rwU2n6H
Cluster1,Gail Barrows,8,1,165.85637115640566,138.5545673314482,#4befba,#b490d3,Ul5SXnaNza
Cluster2,Mr. Lionel Rath,28,1,229.4435255229473,273.75757843255997,#f370e3,#4989ed,Ek7oIpxaAf
Cluster3,Darryl Stehr,38,1,130.3491445025429,179.43509253673255,#d401ef,#fc6f9d,Ri1egOfHzK
Cluster4,Marjorie Hoeger,100,1,132.24080908112228,276.1446947231889,#f0b25f,#ee8b30,1Ji32g2vkA
Cluster5,Erma West,48,1,247.12461413582787,216.6814834345132,#cc199d,#02cff0,m2WHOF2th3
Cluster1,Rene Hagenes,6,1,215.93617143807933,104.20613274909556,#65c0ef,#1bfef1,XFLk2gVsnu
Cluster2,Ronald Rowe,39,1,104.96948262443766,170.49517356790602,#d62a1a,#d503be,y7YLmsu1bJ
Cluster3,Suzanne Kiehn,62,1,181.11598717514426,263.21884733624756,#d88c16,#ecff6b,XakGQ6dhkD
Cluster4,Kenny Abernathy PhD,75,1,192.94926984002814,222.88758102804422,#8e85d4,#1871ad,5Q2aIWr3do
Cluster5,Elisa Cummerata,55,1,236.60950417397544,276.49853988550603,#7d4cce,#ab7a8a,dexKax0jyw
Cluster1,Norma Schultz,21,1,230.2686648676172,171.72551238909364,#49bae4,#7fb6c7,eOEClHVJE4
Cluster2,Shelly Nikolaus,6,1,232.36180141102523,207.02484222128987,#13f6a3,#f5b9be,pCv8cq0ir4
Cluster3,Dr. Vickie Feeney,58,1,200.68206107243896,157.04242554493248,#f5578f,#bd0aa7,GTFOcXLqg5
Cluster4,Willie Raynor,39,1,166.05284090619534,285.81775603815913,#45ce1d,#8f6caa,UNik5mdNIj
Cluster5,Alton Gottlieb,98,1,112.57867874810472,194.02317223139107,#2cd821,#7cc336,zz46MVBdLi
Cluster1,Tim Becker,57,1,248.27007374260575,225.99172214977443,#58fc0b,#cf00ed,5GQ4psi1od
Cluster2,Sammy Swift,75,1,221.31389804417267,265.88774556294084,#4cdc6d,#8ec175,EjJBlJAqxz
